ID	cluster_DMM_4	cluster_DMM_4_lab
3797_736_SG21R2_Pl8H08_concatd	C1	Bacteroides 1
3797_737_SG21R2_Pl8A09_concatd	C1	Bacteroides 1
3797_738_SG21R2_Pl8B09d	C1	Bacteroides 1
3797_739_SG21R2_Pl8C09_concatd	C1	Bacteroides 1
3797_740_SG21R2_Pl8D09_concatd	C1	Bacteroides 1
3797_741_SG21R2_Pl8E09_concatd	C1	Bacteroides 1
3797_744_SG21R2_Pl8H09_concatd	C1	Bacteroides 1
3797_745_SG21R2_Pl8A10d	C1	Bacteroides 1
3797_746_SG21R2_Pl8B10_concatd	C1	Bacteroides 1
3797_747_SG21R2_Pl8C10_concatd	C1	Bacteroides 1
3797_748_SG21R2_Pl8D10_concatd	C1	Bacteroides 1
3797_749_SG21R2_Pl8E10d	C1	Bacteroides 1
3797_750_SG21R2_Pl8F10d	C1	Bacteroides 1
3797_751_SG21R2_Pl8G10d	C1	Bacteroides 1
3797_752_SG21R2_Pl8H10_concatd	C1	Bacteroides 1
3797_753_SG21R2_Pl8A11d	C1	Bacteroides 1
3797_754_SG21R2_Pl8B11_concatd	C1	Bacteroides 1
3797_755_SG21R2_Pl8C11_concatd	C1	Bacteroides 1
3797_756_SG21R2_Pl8D11d	C1	Bacteroides 1
3797_757_SG21R2_Pl8E11d	C1	Bacteroides 1
3797_758_SG21R2_Pl8F11_concatd	C1	Bacteroides 1
3797_760_SG21R2_Pl8H11d	C1	Bacteroides 1
3797_762_SG21R2_Pl8B12d	C1	Bacteroides 1
3797_763_SG21R2_Pl8C12_concatd	C1	Bacteroides 1
3797_764_SG21R2_Pl8D12_concatd	C1	Bacteroides 1
3797_765_SG21R2_Pl8E12d	C1	Bacteroides 1
3797_766_SG21R2_Pl8F12d	C1	Bacteroides 1
3797_767_SG21R2_Pl8G12d	C1	Bacteroides 1
3932_SG21R8_pl1A01d	C1	Bacteroides 1
3932_SG21R8_pl1A02d	C1	Bacteroides 1
3932_SG21R8_pl1A03d	C1	Bacteroides 1
3932_SG21R8_pl1A04_concatd	C1	Bacteroides 1
3932_SG21R8_pl1A05_concatd	C1	Bacteroides 1
3932_SG21R8_pl1A06d	C1	Bacteroides 1
3932_SG21R8_pl1A07d	C1	Bacteroides 1
3932_SG21R8_pl1A08_concatd	C1	Bacteroides 1
3932_SG21R8_pl1A10_concatd	C1	Bacteroides 1
3932_SG21R8_pl1A11d	C1	Bacteroides 1
3932_SG21R8_pl1A12d	C1	Bacteroides 1
3932_SG21R8_pl1B01_concatd	C1	Bacteroides 1
3932_SG21R8_pl1B02_concatd	C1	Bacteroides 1
3932_SG21R8_pl1B03_concatd	C1	Bacteroides 1
3932_SG21R8_pl1B04_concatd	C1	Bacteroides 1
3932_SG21R8_pl1B05d	C1	Bacteroides 1
3932_SG21R8_pl1B06d	C1	Bacteroides 1
3932_SG21R8_pl1B09d	C1	Bacteroides 1
3932_SG21R8_pl1B10d	C1	Bacteroides 1
3932_SG21R8_pl1B11d	C1	Bacteroides 1
3932_SG21R8_pl1B12_concatd	C1	Bacteroides 1
3932_SG21R8_pl1C01_concatd	C1	Bacteroides 1
3932_SG21R8_pl1C02_concatd	C1	Bacteroides 1
3932_SG21R8_pl1C03_concatd	C1	Bacteroides 1
3932_SG21R8_pl1C04_concatd	C1	Bacteroides 1
3932_SG21R8_pl1C05d	C1	Bacteroides 1
3932_SG21R8_pl1C06_concatd	C1	Bacteroides 1
3932_SG21R8_pl1C07d	C1	Bacteroides 1
3932_SG21R8_pl1C09d	C1	Bacteroides 1
3932_SG21R8_pl1C12_concatd	C1	Bacteroides 1
3932_SG21R8_pl1D01d	C1	Bacteroides 1
3932_SG21R8_pl1D02d	C1	Bacteroides 1
3932_SG21R8_pl1D03d	C1	Bacteroides 1
3932_SG21R8_pl1D04_concatd	C1	Bacteroides 1
3932_SG21R8_pl1D05_concatd	C1	Bacteroides 1
3932_SG21R8_pl1D06_concatd	C1	Bacteroides 1
3932_SG21R8_pl1D07_concatd	C1	Bacteroides 1
3932_SG21R8_pl1D08_concatd	C1	Bacteroides 1
3932_SG21R8_pl1D09d	C1	Bacteroides 1
3932_SG21R8_pl1D10_concatd	C1	Bacteroides 1
3932_SG21R8_pl1D11d	C1	Bacteroides 1
3932_SG21R8_pl1D12_concatd	C1	Bacteroides 1
3932_SG21R8_pl1E01d	C1	Bacteroides 1
3932_SG21R8_pl1E03d	C1	Bacteroides 1
3932_SG21R8_pl1E04_concatd	C1	Bacteroides 1
3932_SG21R8_pl1E05_concatd	C1	Bacteroides 1
3932_SG21R8_pl1E07d	C1	Bacteroides 1
3932_SG21R8_pl1E08_concatd	C1	Bacteroides 1
3932_SG21R8_pl1E09_concatd	C1	Bacteroides 1
3932_SG21R8_pl1E10_concatd	C1	Bacteroides 1
3932_SG21R8_pl1E11_concatd	C1	Bacteroides 1
3932_SG21R8_pl1E12_concatd	C1	Bacteroides 1
3932_SG21R8_pl1F01_concatd	C1	Bacteroides 1
3932_SG21R8_pl1F03_concatd	C1	Bacteroides 1
3932_SG21R8_pl1F05_concatd	C1	Bacteroides 1
3932_SG21R8_pl1F06_concatd	C1	Bacteroides 1
3932_SG21R8_pl1F07_concatd	C1	Bacteroides 1
3932_SG21R8_pl1F11_concatd	C1	Bacteroides 1
3932_SG21R8_pl1G01d	C1	Bacteroides 1
3932_SG21R8_pl1G02_concatd	C1	Bacteroides 1
3932_SG21R8_pl1G03_concatd	C1	Bacteroides 1
3932_SG21R8_pl1G04_concatd	C1	Bacteroides 1
3932_SG21R8_pl1G05d	C1	Bacteroides 1
3932_SG21R8_pl1G06d	C1	Bacteroides 1
3932_SG21R8_pl1G07_concatd	C1	Bacteroides 1
3932_SG21R8_pl1G08d	C1	Bacteroides 1
3932_SG21R8_pl1G09d	C1	Bacteroides 1
3932_SG21R8_pl1G10_concatd	C1	Bacteroides 1
3932_SG21R8_pl1G11d	C1	Bacteroides 1
3932_SG21R8_pl1G12d	C1	Bacteroides 1
3932_SG21R8_pl1H01_concatd	C1	Bacteroides 1
3932_SG21R8_pl1H02_concatd	C1	Bacteroides 1
3932_SG21R8_pl1H03_concatd	C1	Bacteroides 1
3932_SG21R8_pl1H04_concatd	C1	Bacteroides 1
3932_SG21R8_pl1H05d	C1	Bacteroides 1
3932_SG21R8_pl1H06d	C1	Bacteroides 1
3932_SG21R8_pl1H07d	C1	Bacteroides 1
3932_SG21R8_pl1H08d	C1	Bacteroides 1
3932_SG21R8_pl1H09d	C1	Bacteroides 1
3932_SG21R8_pl1H11d	C1	Bacteroides 1
3932_SG21R8_pl1H12_concatd	C1	Bacteroides 1
3932_SG21R8_pl2A01_concatd	C1	Bacteroides 1
3932_SG21R8_pl2A02d	C1	Bacteroides 1
3932_SG21R8_pl2A03d	C1	Bacteroides 1
